WeatherRadar,4
Satellite,-24
Wind,190,4
WindGusts,13
WindAccumulation,36
Rain/Thunder,0
RainAccumulation3D,0.51
NewSnow,1.5
SnowDepth,1.9, 159
Thunderstorms,0
Temperature,41
DewPoint,2
Humidity,20
FreezingAltitude,3500
Clouds,79
HighClouds,99
MediumClouds,99
LowClouds,0
CloudTops,11900
CloudBase,11900
Visibility,31.2
CAPEIndex,0
Thermals,4200
SeaTemp,26
NO2,0.39
PM25,2
Aerosol,0.054
OzoneLayer,357
SO2,1.02
SurfaceOzone,93.52
COConcentration,149
DustMass,5.1
FireIntensity,0
Pressure,29.98
ExtremeWind,52
ExtremeTemperature,65
ExtremeRain,29
OutdoorMap,1565
